 27	 28-Al	 13	p	  6591.620	    6591.62(4)	     0.00043000	          0.00043(5)	     Stable	 0.00E+00	          4.8E-05(6)
 27	 28-Al	 13	p	  6622.250	    6622.25(4)	     0.00037000	          0.00037(4)	     Stable	 0.00E+00	          4.2E-05(5)
 27	 28-Al	 13	p	  4085.190	   4085.19(11)	     0.00001600	          1.6E-05(4)	     Stable	 0.00E+00	          1.8E-06(5)
 27	 28-Al	 13	p	  4511.890	    4511.89(4)	     0.00016400	        1.64E-04(10)	     Stable	 0.00E+00	        1.84E-05(11)
 27	 28-Al	 13	p	  5277.680	    5277.68(4)	     0.00004110	        4.11E-05(21)	     Stable	 0.00E+00	        4.62E-06(24)
 27	 28-Al	 13	p	  6619.730	    6619.73(4)	     0.00093000	          0.00093(7)	     Stable	 0.00E+00	         1.04E-04(8)
 27	 28-Al	 13	p	  2880.740	    2880.74(4)	     0.00005300	         5.3E-05(10)	     Stable	 0.00E+00	         6.0E-06(11)
 27	 28-Al	 13	p	  3409.270	    3409.27(4)	     0.00004500	          4.5E-05(6)	     Stable	 0.00E+00	          5.1E-06(7)
 27	 28-Al	 13	p	  3768.580	   3768.58(11)	     0.00002500	          2.5E-05(4)	     Stable	 0.00E+00	          2.8E-06(5)
 27	 28-Al	 13	p	  4100.280	    4100.28(5)	     0.00003100	         3.1E-05(10)	     Stable	 0.00E+00	         3.5E-06(11)
 27	 28-Al	 13	p	  4270.160	    4270.16(5)	     0.00010600	        1.06E-04(14)	     Stable	 0.00E+00	        1.19E-05(16)
 27	 28-Al	 13	p	  4484.510	    4484.51(4)	     0.00013900	        1.39E-04(10)	     Stable	 0.00E+00	        1.56E-05(11)
 27	 28-Al	 13	p	  6725.170	    6725.17(4)	     0.00027000	          0.00027(6)	     Stable	 0.00E+00	          3.0E-05(7)
 27	 28-Al	 13	p	  2128.732	  2128.732(24)	     0.00063000	          0.00063(4)	     Stable	 0.00E+00	          7.1E-05(5)
 27	 28-Al	 13	p	  3017.781	  3017.781(23)	     0.00012000	          1.2E-04(4)	     Stable	 0.00E+00	          1.3E-05(5)
 27	 28-Al	 13	p	  3222.750	    3222.75(5)	     0.00009600	          9.6E-05(6)	     Stable	 0.00E+00	         1.08E-05(7)
