run,subrun,det,resist_v,drift_v,n_samples,t_start,t_end,i_median_ua,i_mean_ua,di_ua,di_err_ua,frac_elevated,n_pulses,pulse_rate_hz,q_per_pulse_nc,q_err_nc,q_per_channel_pc,leak_ok,notes
run_67,m113On_dr600_r520_019,D,519.5,600.0,603,1784764842.0,1784765456.0,0.9980000257492065,1.0773714764003532,0.0793714506511467,0.005997883860969325,0.38308457711442784,167,0.2719869706840391,291.8207826335573,22.052099943923146,284.98123304058333,False,
run_67,m113On_dr600_r525_016,A,524.75,599.75,601,1784762958.0,1784763570.0,1.4220000505447388,1.4375457555402733,0.015545704995534537,0.0013484181488021218,0.23960066555740434,167,0.272875816993464,56.96988896567147,4.941508425550291,55.63465719303855,False,
run_67,m113On_dr600_r525_016,B,524.75,599.75,601,1784762958.0,1784763570.0,4.441999912261963,4.449905162246374,0.007905249984411,0.0011467926942692246,0.30948419301164726,167,0.272875816993464,28.97013766742235,4.202617538280032,28.29115006584214,False,
run_67,m113On_dr600_r525_016,C,524.5,599.75,601,1784762958.0,1784763570.0,0.007000000216066837,0.033582362893367565,0.026582362677300728,0.001979980439469688,0.2612312811980033,167,0.272875816993464,97.41560454196434,7.2559762212901155,95.13242631051206,True,
run_67,m113On_dr600_r525_016,D,524.5,600.0,601,1784762958.0,1784763570.0,1.1130000352859497,1.205306155907731,0.09230612062178123,0.006580350436650331,0.3843594009983361,167,0.272875816993464,338.2715318594618,24.114817169041935,330.34329283150566,False,
run_67,m113On_dr600_r530_013,A,529.75,599.75,602,1784761076.0,1784761689.0,1.5494999885559082,1.5679136231492128,0.018413634593304584,0.0017037711853545969,0.34053156146179403,167,0.2724306688417618,67.5901676987767,6.253962494744718,66.00602314333662,False,
run_67,m113On_dr600_r530_013,B,529.75,599.75,602,1784761076.0,1784761689.0,4.627999782562256,4.6146212574651475,-0.013378525097108351,0.002580138010976582,0.43023255813953487,167,0.2724306688417618,-49.10799930854742,9.470805992387096,-47.95703057475334,False,
run_67,m113On_dr600_r530_013,C,529.5,599.75,602,1784761076.0,1784761689.0,0.00800000037997961,0.03872757483168545,0.03072757445170584,0.0026609628394703194,0.25249169435215946,167,0.2724306688417618,112.79043795745916,9.767486350870094,110.14691206783121,True,
run_67,m113On_dr600_r530_013,D,529.5,600.0,602,1784761076.0,1784761689.0,1.3104999661445618,1.4054933556686604,0.09499338952409864,0.008507919978645334,0.4053156146179402,167,0.2724306688417618,348.68831004953574,31.22967034077599,340.51592778274977,False,
run_67,m113On_dr600_r535_010,A,534.75,599.75,602,1784759184.0,1784759796.0,1.6480000019073486,1.6730830615937116,0.02508305968636293,0.0021557786553637885,0.21760797342192692,167,0.272875816993464,91.92115286259948,7.90021878492598,89.76675084238231,False,
run_67,m113On_dr600_r535_010,B,534.75,599.75,602,1784759184.0,1784759796.0,4.5980000495910645,4.599649501401324,0.0016494518102598832,0.001514279012529292,0.2541528239202658,167,0.272875816993464,6.044697651970351,5.549333866275011,5.903025050752296,False,
run_67,m113On_dr600_r535_010,C,534.5,599.75,602,1784759184.0,1784759796.0,0.008999999612569809,0.05433720937679426,0.04533720976422445,0.003526202080056557,0.29900332225913623,167,0.272875816993464,166.1459423694932,12.922369299368938,162.25189684520822,True,
run_67,m113On_dr600_r535_010,D,534.5,600.0,602,1784759184.0,1784759796.0,1.5089999437332153,1.6175348828005236,0.10853493906730827,0.008732523715685182,0.40863787375415284,167,0.272875816993464,397.74480664187223,32.00182343712174,388.42266273620334,False,
run_67,m113On_dr600_r540_007,A,539.75,599.75,609,1784757295.0,1784757910.0,1.7640000581741333,1.7777454841313103,0.013745425957176982,0.009130958335500906,0.46469622331691296,167,0.27154471544715447,50.619383015951165,33.6259842894195,49.43299122651481,False,
run_67,m113On_dr600_r540_007,B,539.75,599.75,609,1784757295.0,1784757910.0,4.675000190734863,4.682479471604421,0.007479280869557847,0.0013780102120059831,0.3464696223316913,167,0.27154471544715447,27.543459489689074,5.0747082657705365,26.897909657899486,False,
run_67,m113On_dr600_r540_007,C,539.5,599.75,609,1784757295.0,1784757910.0,0.012000000104308128,0.06444663389269355,0.05244663378838542,0.003786998008501793,0.33825944170771755,167,0.27154471544715447,193.14179508896427,13.946130390590437,188.61503426656668,True,
run_67,m113On_dr600_r540_007,D,539.5,600.0,609,1784757295.0,1784757910.0,1.9010000228881836,2.019330049970467,0.11833002708228335,0.009491763971126459,0.4039408866995074,167,0.27154471544715447,435.7662673988279,34.954699654148335,425.55299550666786,False,
run_67,m113On_dr600_r545_004,A,544.75,599.75,607,1784755411.0,1784756025.0,1.8420000076293945,1.8856738077160553,0.043673800086660775,0.0033624814794744064,0.30642504118616143,167,0.2719869706840391,160.57313325275277,12.362656457468775,156.80970044214138,False,
run_67,m113On_dr600_r545_004,B,544.75,599.75,607,1784755411.0,1784756025.0,4.803999900817871,4.81024218076929,0.006242279951418794,0.0012650613957679367,0.3542009884678748,167,0.2719869706840391,22.95065802497688,4.6511838143803175,22.412751977516486,False,
run_67,m113On_dr600_r545_004,C,544.5,599.75,607,1784755411.0,1784756025.0,0.013000000268220901,0.08247116967863856,0.06947116941041766,0.0052006362095852075,0.3163097199341021,167,0.2719869706840391,255.42094621554753,19.120901992127646,249.43451778862064,True,
run_67,m113On_dr600_r545_004,D,544.5,600.0,607,1784755411.0,1784756025.0,2.372999906539917,2.4992322929608566,0.1262323864209396,0.009569866937265345,0.42833607907743,167,0.2719869706840391,464.11188779914306,35.18501975737079,453.2342654288506,False,
run_67,m113On_dr600_r550_001,A,549.75,599.75,607,1784753524.0,1784754138.0,1.7869999408721924,1.8423739707057518,0.055374029833559435,0.004677055395301189,0.38220757825370677,168,0.2736156351791531,202.3788947488422,17.093523885207915,197.63563940316624,False,
