    run  official  parts          bunches   reach      ours  parts   reach  merged
 224656   COVERED     43           1-3409    3409         -      0       -     yes
 224657   COVERED     28           1-2094    2094         -      0       -     yes
 224658   COVERED     11            1-839     839         -      0       -     yes
 224659   COVERED      1             1-76      76         -      0       -     yes
 224660   COVERED     44           1-3401    3401         -      0       -     yes
 224661   COVERED     39           1-3107    3107         -      0       -     yes
 224662   COVERED     38           1-2995    2995         -      0       -     yes
 224663   COVERED     33           1-2595    2595         -      0       -     yes
 224664   COVERED      6            1-445     445         -      0       -     yes
 224665   COVERED      2            1-122     122         -      0       -     yes
 224666   COVERED     41           1-3232    3232         -      0       -      no
 224667   COVERED     17           1-3247    3247         -      0       -   EMPTY
 224668   COVERED     36           1-2811    2811         -      0       -     yes
 224669   COVERED     11            1-811     811         -      0       -     yes
 224670   COVERED     19           1-2884    2884         -      0       -     yes
 224671   COVERED     39           1-2862    2862         -      0       -      no
 224672   COVERED     34           1-2694    2694         -      0       -     yes
 224673   COVERED     34           1-2686    2686         -      0       -     yes
 224674   COVERED     32           1-2495    2495         -      0       -     yes
 224675   COVERED     34           1-2710    2710         -      0       -     yes
 224676   COVERED     35           1-2652    2652         -      0       -     yes
 224677   COVERED     12            1-829     829         -      0       -     yes
 224678   COVERED     57           1-4514    4514         -      0       -     yes
 224679   COVERED     20           1-1536    1536         -      0       -     yes
 224680   COVERED     54           1-4289    4289         -      0       -     yes
 224681   COVERED     52           1-4134    4134         -      0       -     yes
 224682   COVERED     22           1-4263    4263         -      0       -     yes
 224683   COVERED     51           1-4019    4019         -      0       -     yes
 224684   COVERED     46           1-3631    3631         -      0       -     yes
 224685   COVERED     51           1-4004    4004         -      0       -     yes
 224686   COVERED     21           1-4005    4005         -      0       -     yes
 224687   COVERED     12            1-960     960         -      0       -     yes
 224688   COVERED     44           1-2910    2910  prod_v12     44    2910      no
 224689   COVERED      5            1-274     274  prod_v12      5     274     yes
 224690   COVERED     40           1-2930    2930  prod_v12     40    2930      no
 224691   COVERED     38           1-2925    2925  prod_v12     38    2925      no
 224692   COVERED     39           1-3050    3050  prod_v12     39    3050      no
 224693   COVERED     36           1-2866    2866  prod_v12     36    2866      no
 224694   COVERED     11            1-840     840  prod_v12     11     840     yes
 224695   COVERED     35           1-2695    2695  prod_v12     35    2695      no
 224696   COVERED     36           1-2739    2739  prod_v12     36    2739      no
 224697   COVERED     39           1-2800    2800  prod_v12     39    2800      no
 224698   COVERED     40           1-3023    3023  prod_v12     40    3023     yes
 224699   COVERED     38           1-2967    2967  prod_v12     38    2967      no
 224700   COVERED     57           1-4494    4494  prod_v12     57    4494      no
 224701   COVERED     56           1-4468    4468  prod_v12     56    4468      no
 224702   COVERED     12            1-907     907  prod_v12     12     907     yes
 224703   COVERED     36           1-2829    2829  prod_v12     36    2829     yes
 224704   COVERED     37           1-2861    2861  prod_v12     37    2861      no
 224705   COVERED      7            1-552     552  prod_v12      7     552     yes
 224706   COVERED     33           1-2615    2615  prod_v12     33    2615     yes
 224707   COVERED      9            1-634     634  prod_v12      9     634     yes
 224708   COVERED      6            1-135     135  prod_v12      6     135     yes
 224709   COVERED     86           1-2672    2672  prod_v12     18    2320      no
 224710   COVERED      3            1-196     196  prod_v12      3     196     yes
 224711   COVERED     36           1-2788    2788  prod_v12     36    2788     yes
 224712   COVERED     19           1-1472    1472  prod_v12     19    1472     yes
 224713   COVERED     38           1-2961    2961  prod_v12     38    2961      no
 224714   COVERED     47           1-3701    3701  prod_v12     47    3701      no
 224715   COVERED     31           1-2432    2432  prod_v12     31    2432     yes
 224716   COVERED      1              1-4       4  prod_v12      1       4     yes
 224717   COVERED      1              1-8       8  prod_v12      1       8     yes
 224718   COVERED      1             1-16      16  prod_v12      1      16     yes
wrote completed_ledger_2026-08-12.csv
wrote completed_ledger_2026-08-12.json

official: Counter({'COVERED': 442, 'SHORT': 2, 'MERGED_ONLY': 1})
ours    : Counter({'ABSENT': 407, 'COVERED': 30, 'OFF_RECIPE': 7, 'SHORT': 1})

covered by NEITHER (2): [224526, 224566]
