eid,theta_ref_x,theta_ref_y,x_slope,x_intercept,x_tan_fit,x_theta_fit,x_rms,x_span_t,x_n,x_n_core,x_amp_max,y_slope,y_intercept,y_tan_fit,y_theta_fit,y_rms,y_span_t,y_n,y_n_core,y_amp_max,score,theta_sel
29680,-15.80195690185801,-20.88949957090365,-98.8696070112416,20765.2747292151,-0.29748034401045204,-16.566707003721955,26.012821246690297,762.1605224609375,12,9,1179.5216064453125,-70.22899161783556,10913.476689175493,-0.41879804947125077,-22.723840418179638,30.202451492970923,730.8798217773438,17,13,1059.8564453125,0.11289719598261609,-15.80195690185801
36729,,,56.09585975859213,-5956.636698166828,0.5243125755172581,27.668587819044532,29.2212203084234,683.6953125,19,14,958.7476196289062,140.7405825324969,-44843.19547162688,0.20897856308851928,11.803715495687424,72.88321422163618,658.00341796875,10,7,1823.339111328125,0.11312221483648854,27.668587819044532
27033,,,44.474951137923284,-1120.21499888216,0.6613107817627994,33.47709385984496,22.471426740939314,582.3555908203125,23,8,2275.027099609375,120.32525571420325,-40948.5627299721,0.24443550550801427,13.735785019097293,73.19158427673842,596.9600830078125,10,8,3020.0732421875,0.11489070611463241,33.47709385984496
13725,-11.734528645515057,12.564427065333431,-134.41314632057322,42623.7012668192,-0.2188161315392154,-12.342703254014564,32.82375396599,798.076416015625,9,9,876.263427734375,118.97555387354863,-15522.868749346018,0.24720847054969125,13.885610421776853,35.80571463785188,601.0072021484375,10,8,968.0263671875,0.1150614111533444,-11.734528645515057
30231,15.767764602871264,-18.33943515510406,100.28968028533214,-15109.00308685312,0.29326810716918766,16.344730390063727,32.60969811783309,697.5908203125,11,9,999.2158203125,-80.98435195175915,15286.2717573686,-0.3631783671418694,-19.959926520785398,22.428220062820692,534.142822265625,13,10,916.4677124023438,0.11512676149036591,15.767764602871264
12456,,,-36.89005064715242,6827.721435617528,-0.7972817654061062,-38.56471678354152,26.421738770938465,553.5151977539062,27,10,1961.38623046875,74.43823078573399,-8962.576146906014,0.3951163856989342,21.559788086518445,60.72732423050149,577.1028442382812,16,10,2599.571044921875,0.11534839473281043,-38.56471678354152
34625,,,-39.669302724628466,10780.041145386243,-0.7414237883143386,-36.55411722455624,25.635231207201894,751.5269775390625,23,10,988.0127563476562,121.63623255542363,-17446.126319037776,0.2418010167528073,13.593263918149548,93.1119494190777,702.1234130859375,11,9,1283.4029541015625,0.11541825490003811,-36.55411722455624
18141,,,38.76532073713775,320.2215062459313,0.7587133073222699,37.18807449306884,34.613687675811995,646.439208984375,26,9,2690.067626953125,90.91546189812848,-22829.099819668994,0.32350674012786157,17.926743848634544,56.014068459572904,595.5703125,13,10,3177.5927734375,0.11557072640955907,37.18807449306884
6,20.605492462481056,-13.64252042366443,77.51583092378492,-21377.016353606843,0.37942913538268813,20.778204564137052,34.322597685333925,797.1026000976562,16,8,2510.8740234375,-109.66859818362987,15551.202245879716,-0.2681876598498605,-15.012747157202284,62.791844324794205,693.5135498046875,13,8,2550.398193359375,0.11579189472457581,20.605492462481056
36994,,,-47.42620408000789,6534.124041598089,-0.6201585236774332,-31.805473134069185,17.608360482723658,647.9617309570312,19,17,798.9197998046875,-110.09583246140141,17794.088921683004,-0.26714693961003333,-14.957104822166261,88.60853062752099,596.7359619140625,12,8,1222.7822265625,0.11641933677588323,-31.805473134069185
