eventId,front_x_mm,front_y_mm,back_x_mm,back_y_mm,z_front_mm,z_back_mm
656032,69.2384,46.7071,15.3212,12.9905,0.0,1370.0
1109888,73.7834,20.7385,72.5569,19.7519,0.0,1370.0
345278,98.9144,77.2843,98.6630,80.0363,0.0,1370.0
973376,52.3578,60.5429,53.8711,59.4941,0.0,1370.0
327178,81.3711,36.8689,76.7707,37.2148,0.0,1370.0
91536,92.3056,92.3866,91.9936,92.6109,0.0,1370.0
246522,66.4842,44.4405,65.4538,42.1467,0.0,1370.0
484442,92.6680,32.3126,94.4900,32.3806,0.0,1370.0
1213204,56.1446,69.8136,54.5221,68.2617,0.0,1370.0
1283155,98.8124,31.6301,98.2046,28.7306,0.0,1370.0
1515816,29.8189,83.0075,26.8441,78.4327,0.0,1370.0
1427962,85.5028,93.7979,83.8896,93.5943,0.0,1370.0
715924,30.0506,72.6628,28.4631,72.6499,0.0,1370.0
208610,53.4781,87.8175,52.7445,87.3798,0.0,1370.0
1496717,73.4065,25.6742,73.3564,22.8079,0.0,1370.0
1334939,75.2834,30.9729,71.9820,22.2093,0.0,1370.0
171004,87.5462,26.3032,87.1409,23.3963,0.0,1370.0
423671,88.9785,38.6127,85.9982,36.2768,0.0,1370.0
20345,94.0320,18.7322,93.0145,15.2995,0.0,1370.0
1351169,45.0128,45.5694,52.2855,44.5431,0.0,1370.0
1155589,70.4448,77.4493,69.7985,76.7601,0.0,1370.0
922937,69.5846,62.3544,68.7736,61.2723,0.0,1370.0
1043022,75.3371,27.5598,73.2818,3.3378,0.0,1370.0
219404,68.7156,59.6263,68.3682,57.7867,0.0,1370.0
515431,93.2862,21.4497,91.4741,18.3103,0.0,1370.0
1503397,112.8048,113.1386,98.1385,74.6058,0.0,1370.0
908234,84.8004,42.8969,84.1679,38.7359,0.0,1370.0
212761,43.4083,47.4225,42.8790,43.9496,0.0,1370.0
585027,82.8783,16.4325,81.2409,13.5230,0.0,1370.0
931559,76.6367,28.4350,76.0284,25.3134,0.0,1370.0
1056716,95.9940,16.7130,87.3049,20.5494,0.0,1370.0
1136444,78.6678,50.2440,67.8132,46.4042,0.0,1370.0
940203,53.3240,80.7541,52.5853,80.1719,0.0,1370.0
1568759,57.4591,84.1591,57.3385,84.2017,0.0,1370.0
1113445,76.5009,55.1536,75.1022,53.5818,0.0,1370.0
184156,54.0710,21.9568,53.7598,19.6260,0.0,1370.0
716186,56.4029,88.6351,55.6568,88.0821,0.0,1370.0
191140,65.0160,60.8644,64.9341,59.5769,0.0,1370.0
1086033,81.6127,42.1848,81.0465,40.0715,0.0,1370.0
296271,56.9207,85.1731,56.1631,84.9119,0.0,1370.0
659473,73.9140,47.6562,72.1170,43.1165,0.0,1370.0
1589493,55.4564,42.5082,41.5361,28.1928,0.0,1370.0
1071120,85.2369,70.9503,84.6384,70.0105,0.0,1370.0
1055357,68.3061,20.0384,70.0456,18.4071,0.0,1370.0
204025,80.2890,65.1582,78.2400,60.6944,0.0,1370.0
1142107,40.2151,81.0102,39.3766,81.7396,0.0,1370.0
1229301,87.1373,97.6973,87.1342,97.8223,0.0,1370.0
316247,90.1877,37.1119,88.8550,33.6882,0.0,1370.0
374576,89.6379,22.9004,34.7029,72.4776,0.0,1370.0
1435637,74.4980,46.3870,73.1336,44.4757,0.0,1370.0
477047,71.6375,112.8070,49.9972,27.6363,0.0,1370.0
567871,52.8419,78.3861,52.0586,75.6826,0.0,1370.0
812534,98.4319,43.9359,99.5781,42.5563,0.0,1370.0
